2026-03-10 12:09:17.246 | DEBUG    | __main__:run_ingestion:136 - Batch 73: inserted 189/200 | total 14,600
2026-03-10 12:09:18.307 | DEBUG    | __main__:run_ingestion:136 - Batch 74: inserted 199/200 | total 14,800
2026-03-10 12:09:19.455 | DEBUG    | __main__:run_ingestion:136 - Batch 75: inserted 196/200 | total 15,000
2026-03-10 12:09:20.535 | DEBUG    | __main__:run_ingestion:136 - Batch 76: inserted 199/200 | total 15,200
2026-03-10 12:09:21.461 | DEBUG    | __main__:run_ingestion:136 - Batch 77: inserted 198/200 | total 15,400
2026-03-10 12:09:22.516 | DEBUG    | __main__:run_ingestion:136 - Batch 78: inserted 197/200 | total 15,600
2026-03-10 12:09:23.666 | DEBUG    | __main__:run_ingestion:136 - Batch 79: inserted 194/200 | total 15,800
2026-03-10 12:09:24.767 | DEBUG    | __main__:run_ingestion:136 - Batch 80: inserted 198/200 | total 16,000
2026-03-10 12:09:25.843 | DEBUG    | __main__:run_ingestion:136 - Batch 81: inserted 197/200 | total 16,200
2026-03-10 12:09:26.910 | DEBUG    | __main__:run_ingestion:136 - Batch 82: inserted 200/200 | total 16,400
2026-03-10 12:09:28.013 | DEBUG    | __main__:run_ingestion:136 - Batch 83: inserted 196/200 | total 16,600
2026-03-10 12:09:29.131 | DEBUG    | __main__:run_ingestion:136 - Batch 84: inserted 198/200 | total 16,800
2026-03-10 12:09:30.245 | DEBUG    | __main__:run_ingestion:136 - Batch 85: inserted 197/200 | total 17,000
2026-03-10 12:09:31.340 | DEBUG    | __main__:run_ingestion:136 - Batch 86: inserted 200/200 | total 17,200
2026-03-10 12:09:32.524 | DEBUG    | __main__:run_ingestion:136 - Batch 87: inserted 199/200 | total 17,400
2026-03-10 12:09:33.679 | DEBUG    | __main__:run_ingestion:136 - Batch 88: inserted 198/200 | total 17,600
2026-03-10 12:09:34.753 | DEBUG    | __main__:run_ingestion:136 - Batch 89: inserted 195/200 | total 17,800
2026-03-10 12:09:35.809 | DEBUG    | __main__:run_ingestion:136 - Batch 90: inserted 196/200 | total 18,000
2026-03-10 12:09:36.952 | DEBUG    | __main__:run_ingestion:136 - Batch 91: inserted 199/200 | total 18,200
2026-03-10 12:09:38.040 | DEBUG    | __main__:run_ingestion:136 - Batch 92: inserted 197/200 | total 18,400
2026-03-10 12:09:39.116 | DEBUG    | __main__:run_ingestion:136 - Batch 93: inserted 199/200 | total 18,600
2026-03-10 12:09:40.171 | DEBUG    | __main__:run_ingestion:136 - Batch 94: inserted 197/200 | total 18,800
2026-03-10 12:09:41.254 | DEBUG    | __main__:run_ingestion:136 - Batch 95: inserted 193/200 | total 19,000
2026-03-10 12:09:42.150 | DEBUG    | __main__:run_ingestion:136 - Batch 96: inserted 195/200 | total 19,200
2026-03-10 12:09:43.059 | DEBUG    | __main__:run_ingestion:136 - Batch 97: inserted 197/200 | total 19,400
2026-03-10 12:09:44.189 | DEBUG    | __main__:run_ingestion:136 - Batch 98: inserted 198/200 | total 19,600
